Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-1.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-2.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-3.raw	E:\BaiduNetdiskDownload\APPLIED PROTEIN TECHNOLOGY\2026\20260106\YAS202601070072-3\YAS202601070072-3-P-Lvs-26-1-1-4.raw
P97352	P97352	S10AD_MOUSE	S100a13	Protein S100-A13	7676.52		6052.51	5284.12
P97360	P97360	ETV6_MOUSE	Etv6	Transcription factor ETV6	84128	50628.2	41874.8	219228
P97369	P97369	NCF4_MOUSE	Ncf4	Neutrophil cytosol factor 4	25156.3	9640.32	10598.3	12391.5
P97370	P97370	AT1B3_MOUSE	Atp1b3	Sodium/potassium-transporting ATPase subunit beta-3	9499.96	8283.1	15834.1	13809.3
P97371	P97371	PSME1_MOUSE	Psme1	Proteasome activator complex subunit 1	17023.5	11133	18957.4	17090.7
P97372	P97372	PSME2_MOUSE	Psme2	Proteasome activator complex subunit 2	8180.65	9503.15	15213.4	6565.34
P97379-2	P97379-2	G3BP2_MOUSE	G3bp2	Isoform B of Ras GTPase-activating protein-binding protein 2	216092	282375	217600	147654
P97384	P97384	ANX11_MOUSE	Anxa11	Annexin A11	20186.2	18127.5	22201.7	24199.8
P97393	P97393	RHG05_MOUSE	Arhgap5	Rho GTPase-activating protein 5	20913.9	20696.6	9574.08	14963
P97412	P97412;P97412-2	LYST_MOUSE	Lyst	Lysosomal-trafficking regulator	107726	85671.9	69118.5	42637.3
P97425	P97425	ECP2_MOUSE	Ear2	Eosinophil cationic protein 2	9843.37	5491.67	5967.4	7085.83
P97426	P97426	ECP1_MOUSE	Ear1	Eosinophil cationic protein 1	9997.13	8310.03	10786.2	9900.63
P97429	P97429	ANXA4_MOUSE	Anxa4	Annexin A4	37525.3	26037.6	43100.5	52214.9
P97434;P97434-4;P97434-5	P97434;P97434-2;P97434-3;P97434-4;P97434-5	MPRIP_MOUSE	Mprip	Myosin phosphatase Rho-interacting protein	130979	68504	50275.8	76617.8
P97447	P97447;P97447-2	FHL1_MOUSE	Fhl1	Four and a half LIM domains protein 1	3344.15	5096.09	5918.53	
P97449	P97449	AMPN_MOUSE	Anpep	Aminopeptidase N	84915.6	75391.8	155122	116685
P97450	P97450	ATP5J_MOUSE	Atp5pf	ATP synthase-coupling factor 6, mitochondrial	36853.6	42872.1	65667.3	52424.4
P97452	P97452	BOP1_MOUSE	Bop1	Ribosome biogenesis protein BOP1	40199.7	51484.9	38571.7	65853.3
P97461	P97461	RS5_MOUSE	Rps5	40S ribosomal protein S5		13481.3	18079.3	9236.59
P97464	P97464	EXT1_MOUSE	Ext1	Exostosin-1	35801.6	27193.3	21896.7	36592.9
P97465	P97465	DOK1_MOUSE	Dok1	Docking protein 1	42290.7	34528.3	23189.9	69446
P97468	P97468	CML1_MOUSE	Cmklr1	Chemerin-like receptor 1	13795.8	11146	10682.8	15637.4
P97484	P97484	LIRB3_MOUSE	Lilrb3	Leukocyte immunoglobulin-like receptor subfamily B member 3	101403	123013	73294.4	112095
P97492	P97492	RGS14_MOUSE	Rgs14	Regulator of G-protein signaling 14	52643.6	48896.4	43881.6	64424.9
P97493	P97493	THIOM_MOUSE	Txn2	Thioredoxin, mitochondrial	5607.21		4458.56	
P97496;P97496-2	P97496;P97496-2	SMRC1_MOUSE	Smarcc1	SWI/SNF complex subunit SMARCC1	328600	344305	271371	241599
P97792;P97792-2	P97792;P97792-2	CXAR_MOUSE	Cxadr	Coxsackievirus and adenovirus receptor homolog	122275	97415.9	83981.4	15495.6
P97797-2	P97797;P97797-2	SHPS1_MOUSE	Sirpa	Isoform 2 of Tyrosine-protein phosphatase non-receptor type substrate 1	19079	14732.4	15026	18902.5
P97801	P97801	SMN_MOUSE	Smn1	Survival motor neuron protein	112251	94072.2	87973.5	136294
P97807;P97807-2	P97807;P97807-2	FUMH_MOUSE	Fh	Fumarate hydratase, mitochondrial	9751.08	4010.02	12950.3	7201.86
P97808	P97808	FXYD5_MOUSE	Fxyd5	FXYD domain-containing ion transport regulator 5				7019.63
P97814	P97814	PPIP1_MOUSE	Pstpip1	Proline-serine-threonine phosphatase-interacting protein 1	16333.9	23196.4	24339.2	121697
P97820	P97820	M4K4_MOUSE	Map4k4	Mitogen-activated protein kinase kinase kinase kinase 4	117313	101384	84403	115931
P97821	P97821	CATC_MOUSE	Ctsc	Dipeptidyl peptidase 1	11786.9	11990.3	21791.6	14735.9
P97822;P97822-2	P97822;P97822-2	AN32E_MOUSE	Anp32e	Acidic leucine-rich nuclear phosphoprotein 32 family member E	5315.52	3455.69	8978.13	4736.7
P97825	P97825	JUPI1_MOUSE	Jpt1	Jupiter microtubule associated homolog 1	1.87876e+06	3.15299e+06	2.14916e+06	1.70613e+06
P97855	P97855	G3BP1_MOUSE	G3bp1	Ras GTPase-activating protein-binding protein 1	2.86064e+06	5.48124e+06	4.01107e+06	1.62686e+06
P97864	P97864	CASP7_MOUSE	Casp7	Caspase-7	114802	78784.2	74974.6	67519.4
P97868;P97868-2	P97868;P97868-2	RBBP6_MOUSE	Rbbp6	E3 ubiquitin-protein ligase RBBP6	375430	371463	341754	342796
P98078;P98078-2	P98078;P98078-2;P98078-3	DAB2_MOUSE	Dab2	Disabled homolog 2	75694.8	124935	97757.1	105017
P98086	P98086	C1QA_MOUSE	C1qa	Complement C1q subcomponent subunit A	61641.6	43493.8	74672.9	42016.7
P98191	P98191	CDS1_MOUSE	Cds1	Phosphatidate cytidylyltransferase 1	14657.6	24565.8	16524.1	14345.6
P98195;P98195-2	P98195;P98195-2	ATP9B_MOUSE	Atp9b	Probable phospholipid-transporting ATPase IIB		13840.5	13847.2	7188.72
P99024	P68372;P99024;Q7TMM9;Q9CWF2;Q9D6F9	TBB5_MOUSE	Tubb5	Tubulin beta-5 chain	28735.8	34355.1	45628.7	28192.7
P99027	P99027	RLA2_MOUSE	Rplp2	60S acidic ribosomal protein P2	210919	154112	249721	162660
P99028	P99028	QCR6_MOUSE	Uqcrh	Cytochrome b-c1 complex subunit 6, mitochondrial	18191.2	18338.5	24001.7	24894.7
P99029;P99029-2	P99029;P99029-2	PRDX5_MOUSE	Prdx5	Peroxiredoxin-5, mitochondrial	64324	38137	88412.1	127082
Q00519	Q00519	XDH_MOUSE	Xdh	Xanthine dehydrogenase/oxidase	11582.7	3764.74	8424.98	11046.5
Q00612	Q00612	G6PD1_MOUSE	G6pdx	Glucose-6-phosphate 1-dehydrogenase X	43316.7	41924.1	64376.4	40073.6
Q00623	Q00623	APOA1_MOUSE	Apoa1	Apolipoprotein A-I	48661.3	96301.7	42949.6	38271.7
Q00651	Q00651	ITA4_MOUSE	Itga4	Integrin alpha-4	25318	17945.6	11539.5	16014.7
Q00899	Q00899	TYY1_MOUSE	Yy1	Transcriptional repressor protein YY1	107297	104311	77558.3	43036.9
Q00941	Q00941	CSF2R_MOUSE	Csf2ra	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	5223.04	6929.19	10327.9	7602.29
Q00PI9	Q00PI9	HNRL2_MOUSE	Hnrnpul2	Heterogeneous nuclear ribonucleoprotein U-like protein 2	5.22224e+06	5.64328e+06	6.03907e+06	6.24123e+06
Q01147;Q01147-1	P81269;Q01147;P27699-10;P27699-11;P27699-2;P27699-5;P27699-6;P27699-7;P27699-8;Q01147-1	CREB1_MOUSE	Creb1	Cyclic AMP-responsive element-binding protein 1	40646.3	15404.9	46398.8	29836
Q01149	Q01149	CO1A2_MOUSE	Col1a2	Collagen alpha-2(I) chain	20904.8	35997.1	26815.3	24634.4
Q01320	Q01320	TOP2A_MOUSE	Top2a	DNA topoisomerase 2-alpha	164028	113566	101506	44495
Q01730	Q01730	RSU1_MOUSE	Rsu1	Ras suppressor protein 1	3221.61	3902.4	4348.77	5162.51
Q01768	P15532;Q01768	NDKB_MOUSE	Nme2	Nucleoside diphosphate kinase B	61990.8	35577.3	101969	81078.4
Q01815;Q01815-2	Q01815;Q01815-2	CAC1C_MOUSE	Cacna1c	Voltage-dependent L-type calcium channel subunit alpha-1C		9409.06		
Q01853	Q01853	TERA_MOUSE	Vcp	Transitional endoplasmic reticulum ATPase	42161.2	37662	56540.2	51077.1
Q01965	Q01965	LY9_MOUSE	Ly9	T-lymphocyte surface antigen Ly-9	122644	188118	117120	153713
Q02053	Q02053	UBA1_MOUSE	Uba1	Ubiquitin-like modifier-activating enzyme 1	37338.7	35917.7	45872.2	39398.7
Q02614	Q02614	S30BP_MOUSE	Sap30bp	SAP30-binding protein	102259	99305.6	80138.6	57109.5
Q02819	Q02819	NUCB1_MOUSE	Nucb1	Nucleobindin-1	1.91838e+06	1.53455e+06	1.72416e+06	1.63687e+06
Q03147	Q03147	CDK7_MOUSE	Cdk7	Cyclin-dependent kinase 7	587899	473713	434023	421051
Q03265	Q03265	ATPA_MOUSE	Atp5f1a	ATP synthase subunit alpha, mitochondrial	128657	113376	226341	164848
Q03267;Q03267-4;Q03267-5	Q03267;Q03267-4;Q03267-5	IKZF1_MOUSE	Ikzf1	DNA-binding protein Ikaros	50895.6	28445.4	48439.4	24565.5
Q03347;Q03347-4;Q03347-5	Q03347;Q03347-4;Q03347-5	RUNX1_MOUSE	Runx1	Runt-related transcription factor 1	75142.5	41936.7	54963.2	68315.6
Q03963	Q03963	E2AK2_MOUSE	Eif2ak2	Interferon-induced, double-stranded RNA-activated protein kinase	5876.86	11087.1	1797.71	17106.5
Q04207;Q04207-2	P15307;Q04207;Q04207-2	TF65_MOUSE	Rela	Transcription factor p65	4869.35	25804.3	2654.89	17157.2
Q04447	Q04447	KCRB_MOUSE	Ckb	Creatine kinase B-type	31172.5	30651.2	45953.2	28445.8
Q04690;Q04690-2	Q04690;Q04690-2	NF1_MOUSE	Nf1	Neurofibromin	8335.14	4397.79	7648.81	7823.36
Q04692	Q04692	SMRCD_MOUSE	Smarcad1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1	113555	181186	122528	297746
Q04750	Q04750	TOP1_MOUSE	Top1	DNA topoisomerase 1	502334	663448	356510	396468
Q04899	Q04899	CDK18_MOUSE	Cdk18	Cyclin-dependent kinase 18	68350	62322.4	39817	55718.4
Q05144	P60764;P63001;Q05144	RAC2_MOUSE	Rac2	Ras-related C3 botulinum toxin substrate 2	49867.7	51507.6	91944.1	56327.7
Q05512;Q05512-2;Q05512-3;Q05512-4	Q05512;Q05512-2;Q05512-3;Q05512-4	MARK2_MOUSE	Mark2	Serine/threonine-protein kinase MARK2	98523.5	84489.4	86459	46932.1
Q05816	Q05816	FABP5_MOUSE	Fabp5	Fatty acid-binding protein 5	164595	109399	212453	228854
Q05860-5	Q05860;Q05860-2;Q05860-3;Q05860-5;Q05860-6	FMN1_MOUSE	Fmn1	Isoform 5 of Formin-1	9508.98	7475.62	11435	19264.5
Q05915	Q05915	GCH1_MOUSE	Gch1	GTP cyclohydrolase 1	67178.6	135615	72181.9	44566.1
Q05AH6	Q05AH6;Q05AH6-2	SPNDC_MOUSE	Spindoc	Spindlin interactor and repressor of chromatin-binding protein	40158.6	64883	56387.7	64532.5
Q05CL8	Q05CL8	LARP7_MOUSE	Larp7	La-related protein 7	346989	337495	270822	261257
Q05D44	Q05D44	IF2P_MOUSE	Eif5b	Eukaryotic translation initiation factor 5B	9.05216e+06	8.08397e+06	6.97179e+06	5.26143e+06
Q06185	Q06185	ATP5I_MOUSE	Atp5me	ATP synthase subunit e, mitochondrial	56123	72650.1	84445.3	66911.8
Q06507	Q06507	ATF4_MOUSE	Atf4	Cyclic AMP-dependent transcription factor ATF-4	29634		2797.96	54376.9
Q06649	Q06649	3BP2_MOUSE	Sh3bp2	SH3 domain-binding protein 2	4733.42	17390	8541.26	13152.5
Q07076	Q07076	ANXA7_MOUSE	Anxa7	Annexin A7	6687.21		6320.2	8258.18
Q07113	Q07113	MPRI_MOUSE	Igf2r	Cation-independent mannose-6-phosphate receptor	2.14031e+06	1.73725e+06	2.46836e+06	2.39957e+06
Q07231	Q07231	ZSC21_MOUSE	Zscan21	Zinc finger and SCAN domain-containing protein 21		12921.5	3504.02	3605.02
Q07417	Q07417	ACADS_MOUSE	Acads	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	11426.7	12772.6	24328.5	19929.2
Q07763	Q07763	CD244_MOUSE	Cd244	Natural killer cell receptor 2B4	15098.2	11362.1	18866.6	21042.9
Q07797	Q07797	LG3BP_MOUSE	Lgals3bp	Galectin-3-binding protein	14277.1	12446.7	37772.3	23209
Q08024;Q08024-3;Q08024-4	Q08024;Q08024-3;Q08024-4	PEBB_MOUSE	Cbfb	Core-binding factor subunit beta	27449.4	20285.5	22337.2	25329.6
Q08122;Q08122-1;Q08122-2;Q08122-4	Q08122;Q08122-1;Q08122-2;Q08122-4	TLE3_MOUSE	Tle3	Transducin-like enhancer protein 3	106621	104964	75661	57849.8
Q08509	Q08509	EPS8_MOUSE	Eps8	Epidermal growth factor receptor kinase substrate 8	83220.2	96857.5	77034.4	110844
Q08535	Q08535	SECR_MOUSE	Sct	Secretin			7256	
Q08639	Q08639	TFDP1_MOUSE	Tfdp1	Transcription factor Dp-1	19153.1	13420.4	6250.86	14557.9
Q08761	Q08761	PROS_MOUSE	Pros1	Vitamin K-dependent protein S	102367	14341.4	4150.95	2358.93
Q08857	Q08857	CD36_MOUSE	Cd36	Platelet glycoprotein 4	118597	90506.4	146420	142885
Q08874;Q08874-2;Q08874-3;Q08874-4;Q08874-5;Q08874-6;Q08874-7;Q08874-8;Q08874-9	Q08874;Q08874-2;Q08874-3;Q08874-4;Q08874-5;Q08874-6;Q08874-7;Q08874-8;Q08874-9	MITF_MOUSE	Mitf	Microphthalmia-associated transcription factor				17193.6
Q08943;Q08943-2	Q08943;Q08943-2	SSRP1_MOUSE	Ssrp1	FACT complex subunit SSRP1	472575	393630	273339	294295
Q09XV5	Q09XV5	CHD8_MOUSE	Chd8	Chromodomain-helicase-DNA-binding protein 8	102745	102493	90640.2	84503.6
Q0GNC1;Q0GNC1-3	Q0GNC1;Q0GNC1-3	INF2_MOUSE	Inf2	Inverted formin-2	707766	901020	675038	368188
Q0GUM3	Q0GUM3	IRB10_MOUSE	Gm12250	Interferon-gamma-inducible GTPase 10	184983	269038	216927	127567
Q0KL02;Q0KL02-2;Q0KL02-3;Q0KL02-4	Q0KL02;Q0KL02-2;Q0KL02-3;Q0KL02-4	TRIO_MOUSE	Trio	Triple functional domain protein				10522.6
Q0P5V9;Q0P5V9-2	Q0P5V9;Q0P5V9-2;Q0P5V9-3	S45A4_MOUSE	Slc45a4	Solute carrier family 45 member 4	172745	147571	85015.8	74658.8
Q0P678	Q0P678;Q0P678-2	ZCH18_MOUSE	Zc3h18	Zinc finger CCCH domain-containing protein 18	401236	435002	352898	406178
Q0VBL3;Q0VBL3-2	Q0VBL3;Q0VBL3-2	RBM15_MOUSE	Rbm15	RNA-binding protein 15	194155	201458	166906	200065
Q0VEE6	Q0VEE6	ZN800_MOUSE	Znf800	Zinc finger protein 800	12866	7751.29	8697.64	8857.34
Q0VGB7	Q0VGB7	PP4R2_MOUSE	Ppp4r2	Serine/threonine-protein phosphatase 4 regulatory subunit 2	9704.98	30486.6	18209	28799.7
Q0VGT4;Q0VGT4-2	Q0VGT4;Q0VGT4-2	ZGRF1_MOUSE	Zgrf1	Protein ZGRF1		4214.74	5281.95	7585.35
Q0VGY8	Q0VGY8	TANC1_MOUSE	Tanc1	Protein TANC1	50816.6	41730	18444.6	59526.7
Q11011	Q11011	PSA_MOUSE	Npepps	Puromycin-sensitive aminopeptidase	5830.21	5737.32	7580.27	6378.22
Q11136	Q11136	PEPD_MOUSE	Pepd	Xaa-Pro dipeptidase			3172.79	
Q148V7;Q148V7-2	Q148V7;Q148V7-2;Q148V7-3	RELCH_MOUSE	Relch	RAB11-binding protein RELCH	12659.3	7486.95	8526.87	20638
Q14AX6;Q14AX6-2;Q14AX6-3	Q14AX6;Q14AX6-2;Q14AX6-3	CDK12_MOUSE	Cdk12	Cyclin-dependent kinase 12	850375	974618	826304	745241
Q14BI7;Q14BI7-2;Q14BI7-3	Q14BI7;Q14BI7-2;Q14BI7-3	TDRD9_MOUSE	Tdrd9	ATP-dependent RNA helicase TDRD9	1459.95			
Q14C51	Q14C51	PTCD3_MOUSE	Ptcd3	Pentatricopeptide repeat domain-containing protein 3, mitochondrial	20802.6	12879.5	8465.66	5481.95
Q18PI6	Q18PI6;Q18PI6-3	SLAF5_MOUSE	Cd84	SLAM family member 5	670359	497891	655076	605318
Q18PI6-3	Q18PI6-3	SLAF5_MOUSE	Cd84	Isoform 3 of SLAM family member 5	85887.9	63062.2	64129.8	58087
Q1HFZ0	Q1HFZ0;Q1HFZ0-2	NSUN2_MOUSE	Nsun2	RNA cytosine C(5)-methyltransferase NSUN2	138111	90164	49118.5	334742
Q2EMV9	Q2EMV9	PAR14_MOUSE	Parp14	Protein mono-ADP-ribosyltransferase PARP14	3670.34	8656.02	10970.6	8356.88
Q2KN98	Q2KN98	CYTSA_MOUSE	Specc1l	Cytospin-A	17775.7	32213.3	34040.7	24229.1
Q2PFD7;Q2PFD7-2;Q2PFD7-4;Q2PFD7-5	Q2PFD7;Q2PFD7-2;Q2PFD7-3;Q2PFD7-4;Q2PFD7-5	PSD3_MOUSE	Psd3	PH and SEC7 domain-containing protein 3	17883	11076.7	16769	9303.14
Q2TBE6	Q2TBE6	P4K2A_MOUSE	Pi4k2a	Phosphatidylinositol 4-kinase type 2-alpha	1.01205e+06	1.09524e+06	1.29614e+06	941534
Q2TV84	Q2TV84	TRPM1_MOUSE	Trpm1	Transient receptor potential cation channel subfamily M member 1	14057.9	24888.6	21490	
Q2YFS3;Q2YFS3-2	Q2YFS3;Q2YFS3-2	PILRA_MOUSE	Pilra	Paired immunoglobulin-like type 2 receptor alpha	37864.7	61834.2	22442.4	14650.2
Q31125	Q31125	S39A7_MOUSE	Slc39a7	Zinc transporter SLC39A7	6111.03	13318.5	7552.58	8367.78
Q32MW3;Q9R0X4	Q9R0X4;Q32MW3	ACO10_MOUSE;ACOT9_MOUSE	Acot10;Acot9	Acyl-coenzyme A thioesterase 10, mitochondrial				3020.92
Q32NY4;Q32NY4-2	Q32NY4;Q32NY4-2	CNNM3_MOUSE	Cnnm3	Metal transporter CNNM3	116955	97390.3	74149.9	91613.5
Q3B7Z2	Q3B7Z2;Q3B7Z2-2	OSBP1_MOUSE	Osbp	Oxysterol-binding protein 1	122397	138374	84203.6	117315
Q3KNJ2;Q3KNJ2-2	Q3KNJ2;Q3KNJ2-2	NHEJ1_MOUSE	Nhej1	Non-homologous end-joining factor 1	14559.7	10158.8	10109.9	15834.1
Q3TAA7	Q3TAA7	S11IP_MOUSE	Stk11ip	Serine/threonine-protein kinase 11-interacting protein	203765	234890	179567	148722
Q3TB48	Q3TB48	TM104_MOUSE	Tmem104	Transmembrane protein 104	46200.5	74002.2	51932.1	83008.9
Q3TB92;Q3TB92-2	Q3TB92;Q3TB92-2	MILR1_MOUSE	Milr1	Allergin-1	22671.5	16812.2	27591.6	24419.3
Q3TBD2	Q3TBD2	HMHA1_MOUSE	Arhgap45	Rho GTPase-activating protein 45	145138	58197.7	56662	184746
Q3TC46	Q3TC46	PATL1_MOUSE	Patl1	Protein PAT1 homolog 1	69322	90676.2	60716.9	70680.8
Q3TCJ8;Q3TCJ8-2	Q3TCJ8;Q3TCJ8-2	CCD69_MOUSE	Ccdc69	Coiled-coil domain-containing protein 69	32980.9	18474.6	23787	28305.9
Q3TCT4;Q3TCT4-2	Q3TCT4;Q3TCT4-2	ENTP7_MOUSE	Entpd7	Ectonucleoside triphosphate diphosphohydrolase 7	6787.32	6749.72	5230.88	8276.69
Q3TD49;Q3TD49-2	Q3TD49;Q3TD49-2	SPP2B_MOUSE	Sppl2b	Signal peptide peptidase-like 2B	5687.36	21466.1	9034.28	22037.3
Q3TDQ1	Q3TDQ1	STT3B_MOUSE	Stt3b	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B	6.37315e+06	5.15113e+06	3.54931e+06	3.1088e+06
Q3TEA8;Q3TEA8-2;Q3TEA8-3	Q3TEA8;Q3TEA8-2;Q3TEA8-3	HP1B3_MOUSE	Hp1bp3	Heterochromatin protein 1-binding protein 3	11277.4	14735.7	16281.4	14542.7
Q3TFK5	Q3TFK5	GPTC4_MOUSE	Gpatch4	G patch domain-containing protein 4	99059.8	78951.4	80496.8	78574
Q3TGW2	Q3TGW2	EEPD1_MOUSE	Eepd1	Endonuclease/exonuclease/phosphatase family domain-containing protein 1	134257	148514	117010	131107
Q3TH73	Q3TH73;Q3TH73-2	TTYH2_MOUSE	Ttyh2	Protein tweety homolog 2			19717.7	6734.09
Q3THE2	Q3THE2	ML12B_MOUSE	Myl12b	Myosin regulatory light chain 12B	25363.5	43262.4	56417.7	51449.1
Q3THG9	Q3THG9	AASD1_MOUSE	Aarsd1	Alanyl-tRNA editing protein Aarsd1	31221.2	34261.8	26177.4	69392.1
Q3THK3	Q3THK3	T2FA_MOUSE	Gtf2f1	General transcription factor IIF subunit 1	29420.9	11244.8	16344.1	26697.7
Q3THS6	Q3THS6;Q91X83	METK2_MOUSE	Mat2a	S-adenosylmethionine synthase isoform type-2	11901.9	12078.8	10395.8	20776.8
Q3TIX9	Q3TIX9	SNUT2_MOUSE	Usp39	U4/U6.U5 tri-snRNP-associated protein 2	171092	142422	124147	134621
Q3TJD7;Q3TJD7-3	Q3TJD7;Q3TJD7-3	PDLI7_MOUSE	Pdlim7	PDZ and LIM domain protein 7	22910.5	27349.8	15443.2	35681.8
Q3TKT4;Q3TKT4-2	Q3TKT4;Q3TKT4-2	SMCA4_MOUSE	Smarca4	Transcription activator BRG1	168254	167924	153589	117428
Q3TLD5;Q3TLD5-2	Q3TLD5;Q3TLD5-2	RMP_MOUSE	Uri1	Unconventional prefoldin RPB5 interactor	24157.8	21947.5	17965	44456.8
Q3TLH4;Q3TLH4-5	Q3TLH4;Q3TLH4-5	PRC2C_MOUSE	Prrc2c	Protein PRRC2C	173967	228942	188037	128402
Q3TLI0	Q3TLI0	TPC10_MOUSE	Trappc10	Trafficking protein particle complex subunit 10	52615	67479	38265.6	134576
Q3TQI7	Q3TQI7	TLS1_MOUSE		Splicing factor C9orf78 homolog	44326.3	49347	41923.7	51875.1
Q3TRM8	Q3TRM8	HXK3_MOUSE	Hk3	Hexokinase-3	51575	51749.6	68669.3	102431
Q3TSG4	Q3TSG4	ALKB5_MOUSE	Alkbh5	RNA demethylase ALKBH5	24372.1	15135.9	6561.93	18226.6
Q3TTA7;Q3TTA7-2	Q3TTA7;Q3TTA7-2	CBLB_MOUSE	Cblb	E3 ubiquitin-protein ligase CBL-B	66618.9	52737.9	33545.6	92652.2
Q3TVI8	Q3TVI8	PBIP1_MOUSE	Pbxip1	Pre-B-cell leukemia transcription factor-interacting protein 1	90869.2	190997	93005.1	84493.6
Q3TW96	Q3TW96;Q3TW96-2	UAP1L_MOUSE	Uap1l1	UDP-N-acetylhexosamine pyrophosphorylase-like protein 1	24783.5	23837.4	49495.2	26280.8
Q3TWI9	Q3TWI9	CSCL2_MOUSE	Tmem63b	CSC1-like protein 2	38165.1	58008	39353.6	47008.5
Q3TWW8	Q3TWW8	SRSF6_MOUSE	Srsf6	Serine/arginine-rich splicing factor 6	721968	801426	798963	662784
Q3TX08	Q3TX08	TRM1_MOUSE	Trmt1	tRNA (guanine(26)-N(2))-dimethyltransferase	51205.2	59964.1	30610.7	47901.2
Q3TXS7	Q3TXS7	PSMD1_MOUSE	Psmd1	26S proteasome non-ATPase regulatory subunit 1	74053.3	67863.8	84545.9	81185.1
Q3TYA6	Q3TYA6	MPP8_MOUSE	Mphosph8	M-phase phosphoprotein 8	80828.3	82096.6	92651.1	58267.4
Q3TYS2	Q3TYS2	CYBC1_MOUSE	Cybc1	Cytochrome b-245 chaperone 1	504410	480113	363860	360956
Q3TZX8;Q3TZX8-2;Q3TZX8-3	Q3TZX8;Q3TZX8-2;Q3TZX8-3	NOL9_MOUSE	Nol9	Polynucleotide 5'-hydroxyl-kinase NOL9	30187.7	30167.1	38735.7	68532.8
Q3TZZ7;Q3TZZ7-2	Q3TZZ7;Q3TZZ7-2	ESYT2_MOUSE	Esyt2	Extended synaptotagmin-2	43835.2	20541.1	25784.5	44441.3
Q3U0J8	Q3U0J8	TBD2B_MOUSE	Tbc1d2b	TBC1 domain family member 2B	287604	254990	205226	488842
Q3U0M1;Q3U0M1-2;Q3U0M1-3	Q3U0M1;Q3U0M1-2;Q3U0M1-3	TPPC9_MOUSE	Trappc9	Trafficking protein particle complex subunit 9	185502	461435	238687	319192
Q3U0V1	Q3U0V1	FUBP2_MOUSE	Khsrp	Far upstream element-binding protein 2	25785	39905	45850.9	65359.6
Q3U0V2	Q3U0V2	TRADD_MOUSE	Tradd	Tumor necrosis factor receptor type 1-associated DEATH domain protein	1248.2	4172.79		47576.1
Q3U182	Q3U182	CRTC2_MOUSE	Crtc2	CREB-regulated transcription coactivator 2		3850.49	1467.84	31688.9
Q3U1F9	Q3U1F9	PHAG1_MOUSE	Pag1	Phosphoprotein associated with glycosphingolipid-enriched microdomains 1	194077	182925	137722	273963
Q3U1J1;Q3U1J1-2	Q3U1J1;Q3U1J1-2	TFPT_MOUSE	Tfpt	TCF3 fusion partner homolog	302751	276011	195743	403885
Q3U1T3	Q3U1T3	BRM1L_MOUSE	Brms1l	Breast cancer metastasis-suppressor 1-like protein	11075.5	18366.4	9673.42	3340.68
Q3U1T9;Q3U1T9-2;Q3U1T9-4	Q3U1T9;Q3U1T9-2;Q3U1T9-4	DEN1B_MOUSE	Dennd1b	DENN domain-containing protein 1B	39183.1	47745	40446.2	53574.3
Q3U1V6	Q3U1V6	UEVLD_MOUSE	Uevld	Ubiquitin-conjugating enzyme E2 variant 3	10018.5	11924.9	3691.52	13738.7
Q3U1V8	Q3U1V8	M3K9_MOUSE	Map3k9	Mitogen-activated protein kinase kinase kinase 9	23931.6	37786.9	41987.3	28579.1
Q3U1Y4;Q3U1Y4-2	Q3U1Y4;Q3U1Y4-2;Q3U1Y4-3	DEN4B_MOUSE	Dennd4b	DENN domain-containing protein 4B	354600	265777	219529	307344
Q3U1Z5	Q3U1Z5	GPSM3_MOUSE	Gpsm3	G-protein-signaling modulator 3	5.17914e+06	3.86917e+06	3.74846e+06	4.1104e+06
Q3U214	Q3U214	MAST3_MOUSE	Mast3	Microtubule-associated serine/threonine-protein kinase 3	214845	252516	211725	214443
Q3U2C5;Q3U2C5-2	Q3U2C5;Q3U2C5-2	RN149_MOUSE	Rnf149	E3 ubiquitin-protein ligase RNF149	25686.5	52706.2	68883.1	41550.9
Q3U2S8	Q3U2S8	HVCN1_MOUSE	Hvcn1	Voltage-gated hydrogen channel 1	33721.6	38120.8	27072.4	31711.2
Q3U319	Q3U319	BRE1B_MOUSE	Rnf40	E3 ubiquitin-protein ligase BRE1B			1375.93	11016.1
Q3U3C9;Q3U3C9-2;Q3U3C9-3;Q3U3C9-4	Q3U3C9;Q3U3C9-2;Q3U3C9-3;Q3U3C9-4	GSE1_MOUSE	Gse1	Genetic suppressor element 1	13331.9	12281.5	9695.67	14040.6
Q3U3E2	Q3U3E2	F117B_MOUSE	Fam117b	Protein FAM117B	27006.7	17096.3	16352.8	28376
